id,word
581,apologize
581,wrong
581,forgive
581,ready
580,would
580,like
580,apologize
580,family
580,taking
580,hope
580,closure
580,want
580,say
580,family
580,friends
580,world
580,kids
580,continue
580,make
580,ready
580,alright
580,warden
580,ready
578,want
578,take
578,everyone
578,give
578,god
578,love
578,peace
578,god
578,truth
578,truth
578,way
578,life
578,want
578,friends
578,loved
578,ones
578,god
578,us
578,want
578,thank
578,good
578,people
578,god
578,place
578,thank
578,brothers
578,love
578,also
578,want
578,thank
578,helped
578,get
578,want
578,everyone
578,peace
578,heart
578,jesus
578,give
578,us
578,love
578,thank
578,everything
578,thank
578,brother
578,ready
578,go
578,home
578,ready
578,warden
578,home
578,want
578,everyone
578,peace
578,heart
578,make
578,jesus
578,give
578,everything
578,ready
577,yes
577,want
577,thank
577,want
577,see
577,get
577,love
577,thank
577,brothers
577,back
577,help
577,get
577,life
577,right
577,love
577,brothers
577,see
577,side
576,want
576,say
576,family
576,appreciate
576,everything
576,victim
576,back
576,nothing
576,could
576,said
576,done
576,would
576,helped
576,hope
576,hope
576,find
576,closure
576,wife
576,friends
576,son
576,love
576,know
576,good
576,fight
576,ready
576,go
576,ready
576,warden
575,would
575,like
575,thank
575,jesus
575,christ
575,lord
575,would
575,like
575,thank
575,people
575,life
575,would
575,also
575,like
575,thank
575,justice
575,family
575,pray
575,death
575,bring
575,peace
574,would
574,like
574,thank
574,everyone
574,god
574,bless
574,every
574,one
574,family
574,one
574,day
574,back
574,guys
572,yes
572,die
572,justice
572,lord
572,soul
572,take
572,jesus
572,truly
572,killing
572,family
572,family
572,last
572,love
572,every
572,one
571,would
571,like
571,thank
571,people
571,helped
571,years
571,world
571,better
571,place
571,life
571,love
571,friends
571,made
571,like
571,part
571,life
571,like
571,soul
571,hope
571,everyone
571,happy
571,done
571,warden
569,yes
569,sir
569,would
569,like
569,thank
569,god
569,dad
569,lord
569,jesus
569,life
569,want
569,apologize
569,pain
569,love
569,never
569,want
569,thank
569,thank
569,warden
568,thank
568,thank
568,family
568,would
568,like
568,say
568,sorry
568,caused
568,hope
568,find
568,peace
568,closure
568,forgive
568,sorry
568,know
568,forgive
568,hope
568,one
568,day
568,friends
568,love
568,ya
568,good
568,good
568,people
568,want
568,see
568,lord
568,jesus
568,bad
568,hope
568,understand
568,going
568,ask
568,warden
568,ask
568,jesus
568,help
568,forgive
568,one
568,day
568,please
568,sorry
568,guys
568,love
568,thank
568,warden
566,want
566,family
566,apologize
566,pain
566,suffering
566,caused
566,family
566,put
566,never
566,happened
566,mom
566,love
566,going
566,ready
565,tell
565,family
565,love
565,sorry
565,hurt
565,even
565,tell
565,back
565,tell
565,said
565,love
565,ready
564,wanted
564,apologize
564,pain
564,caused
564,life
564,took
564,years
564,man
564,want
564,apologize
564,know
564,bring
564,pain
564,suffering
564,caused
564,peace
564,understand
564,pain
564,caused
564,man
564,know
564,else
564,say
564,took
564,years
564,going
564,heart
564,made
564,wrong
564,made
564,everyone
564,else
564,pain
564,caused
564,family
563,wanted
563,tell
563,ya
563,much
563,love
563,thank
563,life
563,time
563,ya
563,ya
563,many
563,even
563,know
563,guys
563,talk
563,back
563,peace
563,going
563,jesus
563,family
563,going
563,time
563,going
563,everything
563,lot
563,understand
563,right
563,wrong
563,something
563,done
563,something
563,better
563,peace
563,live
563,years
563,death
563,row
563,never
563,mean
563,good
563,nothing
563,lord
563,heart
563,peace
563,going
563,go
563,tell
563,mother
563,made
563,warden
563,ready
562,lord
562,forgive
562,know
560,yes
560,sir
560,love
560,love
